,para_count,word_count,sentence_count,sentence_len(mean),sentence_len(mode),sentence_len(max),sentence_len(min),stop_words,sw_rates,unique_words,noun,verb,adj,pron,modal verb,most_freq,number_of_repeatation,max_occurance_of_most_frequent_phrase,avg sentence complexity,lexical diversity,sentence similarity mean,sentence similarity median,sentence similarity mode,word_sim_p_count,word_sim_p_score,word_sim_n_count,word_sim_n_score,word_sim_score,flesch grade,Automated Readability,coleman_liau,cohesion score,uniqueness of words,positive_sentiment,negative_sentiment,neutral_sentiment,discourse_marker,label
count,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0
mean,4.461538461538462,326.2937062937063,16.286713286713287,20.875270952921493,18.972027972027973,37.87412587412587,9.6993006993007,172.06993006993008,10.996723542282764,191.73426573426573,0.2651484040073505,0.14476466633227367,0.10170204174721358,0.039583761285660136,8.342657342657343,8.552447552447552,0.7762237762237763,1.3426573426573427,5.847251748251748,0.517663956968669,0.8434395981225296,0.9102773945648354,0.8206989646374763,322.1958041958042,134.4961466477403,1.5244755244755244,-0.10844795503310203,134.38769869270718,11.332167832167832,13.311188811188812,12.095034965034964,4.22302767613517,0.517663956968669,0.13074125874125872,0.07044055944055945,0.7987692307692308,44.7972027972028,0.0
std,0.8028929275362671,92.04590344166328,6.223108205805219,4.0243850502825635,6.63106650859917,10.596881771531603,3.1712506197792396,54.3310989653606,2.437940983098669,40.817517478208025,0.03220320419765114,0.022583370796560965,0.022493809063451428,0.018162546407295515,4.267639277337929,3.3053058533518063,1.6290478529859196,0.5452082572108726,0.8504929181257969,0.04776912023741496,0.01951731363991304,0.020566263706403326,0.09852091463040377,92.46919995337761,40.73867712234733,2.0990680958167136,0.17524850779826864,40.73687146438118,2.038419762110733,2.3411837891378404,1.739339713688475,0.27646408310863635,0.04776912023741496,0.04745965125236343,0.052926686255561864,0.06023892479677673,12.06704243994012,0.0
min,3.0,225.0,8.0,11.041666666666666,8.0,20.0,1.0,106.0,4.916666666666667,123.0,0.1926605504587156,0.0751445086705202,0.0412844036697247,0.0,0.0,3.0,0.0,1.0,3.708,0.3632958801498127,0.7514868935241419,0.8246095180511475,0.0793037116527557,218.0,77.18571648479153,0.0,-0.9895892162689968,76.86806161244228,7.0,7.8,8.41,3.223873926041558,0.3632958801498127,0.038,0.0,0.583,16.0,0.0
25%,4.0,275.5,13.0,17.989463601532567,14.0,31.0,7.0,143.5,9.40032679738562,166.0,0.24371091849422444,0.13226646505376338,0.08370206489675515,0.0256276937812136,5.0,6.0,0.0,1.0,5.189,0.49394309058413,0.832658565706677,0.8985800445079803,0.7983901500701904,272.5,112.69943726226384,0.0,-0.17057358950951385,112.58895358439108,10.0,11.5,10.97,4.038858458141097,0.49394309058413,0.0985,0.032,0.766,36.5,0.0
50%,4.0,310.0,15.0,21.0,18.0,37.0,10.0,162.0,10.833333333333334,184.0,0.2609970674486803,0.146551724137931,0.1026252983293556,0.0373831775700934,8.0,8.0,0.0,1.0,5.769,0.5204081632653061,0.8463799754778544,0.9126647710800172,0.8438701629638672,307.0,127.78002595009042,1.0,-0.0142883379415821,127.58971420415608,11.4,13.2,11.82,4.201847865689101,0.5204081632653061,0.127,0.054,0.794,44.0,0.0
75%,5.0,347.0,18.0,22.96875,22.0,42.0,12.0,182.0,12.447802197802197,205.0,0.2877703950580593,0.16025346744014574,0.11458779476009245,0.04862049006366965,11.0,10.0,1.0,2.0,6.345000000000001,0.5479876160990712,0.8556043949926863,0.9241358637809753,0.8671698272228241,342.5,141.74234102979702,2.0,0.0,141.6441788162589,12.7,14.95,13.115,4.3964917835867166,0.5479876160990712,0.16,0.0955,0.841,50.0,0.0
max,11.0,1029.0,63.0,32.63636363636363,41.0,88.0,19.0,558.0,18.818181818181817,489.0,0.3622641509433962,0.2054263565891473,0.1657142857142857,0.0910364145658263,32.0,20.0,9.0,4.0,8.0,0.6295081967213115,0.8967972255888439,0.9586797952651978,0.9256264567375184,1019.0,425.4133041864212,13.0,0.0,425.34526006111497,16.1,19.3,17.29,4.985092002449345,0.6295081967213115,0.247,0.299,0.932,95.0,0.0
