,para_count,word_count,sentence_count,sentence_len(mean),sentence_len(mode),sentence_len(max),sentence_len(min),stop_words,sw_rates,unique_words,noun,verb,adj,pron,modal verb,most_freq,number_of_repeatation,max_occurance_of_most_frequent_phrase,avg sentence complexity,lexical diversity,sentence similarity mean,sentence similarity median,sentence similarity mode,word_sim_p_count,word_sim_p_score,word_sim_n_count,word_sim_n_score,word_sim_score,flesch grade,Automated Readability,coleman_liau,cohesion score,uniqueness of words,positive_sentiment,negative_sentiment,neutral_sentiment,discourse_marker,label
count,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0,143.0
mean,5.8671328671328675,405.5804195804196,20.53146853146853,19.90798535806805,19.027972027972027,32.0,10.055944055944057,184.94405594405595,9.1097500060761,215.46153846153845,0.30697455885965413,0.1587825502444146,0.11711549925992012,0.022394877646651566,10.41958041958042,13.216783216783217,6.1678321678321675,2.3496503496503496,6.1082237762237765,0.4492007305359364,0.8577486982901864,0.9074269045482982,0.8313205915314335,403.4475524475524,158.9100359475476,0.8321678321678322,-0.04628125295372574,158.8637546945939,13.378321678321681,15.606293706293705,15.276153846153845,4.192704676621348,0.4492007305359364,0.17069230769230767,0.06295804195804196,0.7663566433566433,59.11888111888112,1.0
std,0.7803733508578092,51.404281701892316,3.096577383208748,1.9506482990973373,4.632925726573268,4.519129917502661,2.4228263781831445,25.192435770547995,1.280433655433013,29.81368653250922,0.029001803986228484,0.023779237177207015,0.026614247192914137,0.009613775553043638,4.558558870700485,3.9435093046387855,6.41299957720783,1.0226914315704534,0.5292640574697112,0.03266171841215472,0.019186008478442255,0.014351795924014263,0.05920698429412822,52.08493582353681,19.97412154755754,1.6656683046787748,0.11004518368457082,19.977402614481274,1.4629768927608162,1.555191975976988,1.781675474740403,0.249875008668858,0.03266171841215472,0.059995801586588834,0.05115123587314719,0.061970279745634446,10.353260023079015,0.0
min,4.0,196.0,12.0,16.066666666666666,1.0,24.0,1.0,73.0,5.7407407407407405,113.0,0.2455696202531645,0.1055276381909547,0.0514469453376205,0.0022522522522522,1.0,5.0,0.0,1.0,4.941,0.3647642679900744,0.6738917942230518,0.8676962852478027,0.2574066817760467,192.0,74.82112118969994,0.0,-0.65642260422611,74.82112118969994,9.4,11.6,11.2,3.4751641165348794,0.3647642679900744,0.044,0.0,0.593,24.0,1.0
25%,5.0,370.0,18.0,18.48913043478261,16.0,29.0,9.0,170.5,8.04,192.5,0.2884954128440367,0.14484152211424936,0.09815227824515835,0.0153846153846153,7.0,11.0,1.0,2.0,5.707000000000001,0.42872819502082826,0.8528824312150326,0.8977907598018646,0.8161520957946777,366.5,146.82331904122714,0.0,-0.03378900450297375,146.73137921559726,12.3,14.55,14.07,4.02700388362135,0.42872819502082826,0.133,0.0275,0.7335,52.5,1.0
50%,6.0,402.0,20.0,19.88888888888889,19.0,31.0,10.0,183.0,9.142857142857142,216.0,0.3051643192488263,0.1581769436997319,0.1133786848072562,0.0219435736677116,11.0,12.0,4.0,2.0,6.118,0.4509803921568627,0.8605590141736544,0.9084488153457642,0.8389195203781128,399.0,156.9774136711974,0.0,0.0,156.7213263862953,13.4,15.7,14.97,4.185598472291641,0.4509803921568627,0.166,0.05,0.772,58.0,1.0
75%,6.0,441.5,23.0,21.30614973262032,22.0,35.0,12.0,202.0,9.975,235.0,0.32267758112877115,0.17592229199372056,0.13512677798392086,0.02965776427314885,14.0,16.0,9.0,3.0,6.4105,0.4680884601440708,0.8668682481260861,0.918644905090332,0.8602043688297272,439.0,172.85812905687294,1.0,0.0,172.85812905687294,14.350000000000001,16.7,16.48,4.3721081023605,0.4680884601440708,0.207,0.0825,0.8075000000000001,64.0,1.0
max,8.0,547.0,30.0,25.166666666666668,32.0,48.0,15.0,241.0,12.05,285.0,0.4067796610169492,0.2105263157894736,0.1898148148148148,0.0455696202531645,20.0,24.0,35.0,7.0,7.733,0.5389221556886228,0.8799729438928457,0.9385448098182678,0.8967780470848083,547.0,215.9485327783799,9.0,0.0,215.79713308779813,17.9,19.3,21.52,4.748035252000971,0.5389221556886228,0.394,0.327,0.918,97.0,1.0
