,para_count,word_count,sentence_count,sentence_len(mean),sentence_len(mode),sentence_len(max),sentence_len(min),stop_words,sw_rates,unique_words,noun,verb,adj,pron,modal verb,most_freq,number_of_repeatation,max_occurance_of_most_frequent_phrase,avg sentence complexity,lexical diversity,sentence similarity mean,sentence similarity median,sentence similarity mode,word_sim_p_count,word_sim_p_score,word_sim_n_count,word_sim_n_score,word_sim_score,flesch grade,Automated Readability,coleman_liau,cohesion score,uniqueness of words,positive_sentiment,negative_sentiment,neutral_sentiment,discourse_marker,label
count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean,1.4055944055944058,79.28671328671328,4.244755244755243,0.9672855948534433,0.05594405594405316,5.874125874125873,0.35664335664335667,12.874125874125866,1.8869735362066642,23.72727272727272,0.04182615485230362,0.014017883912140927,0.01541345751270655,0.01718888363900857,2.0769230769230766,4.664335664335665,5.391608391608392,1.0069930069930069,0.2609720279720289,0.06846322643273256,0.014309100167656852,0.002850490016537144,0.010621626893957181,81.25174825174821,24.413889299807323,0.6923076923076922,0.062166702079376294,24.476056001886718,2.0461538461538495,2.2951048951048936,3.1811188811188806,0.03032299951382189,0.06846322643273256,0.03995104895104895,0.007482517482517492,0.03241258741258746,14.32167832167832,1.0
std,0.02251957667845783,40.64162173977097,3.1265308225964707,2.0737367511852263,1.9981407820259012,6.077751854028942,0.7484242415960951,29.138663194812608,1.157507327665656,11.003830945698805,0.0032014002114226538,0.0011958663806460497,0.0041204381294627085,0.008548770854251877,0.29091959336255613,0.6382034512869792,4.783951724221911,0.47748317435958076,0.3212288606560857,0.015107401825260242,0.00033130516147078515,0.006214467782389063,0.03931393033627555,40.3842641298408,20.764555574789792,0.4333997911379388,0.06520332411369782,20.759468849899907,0.5754428693499167,0.7859918131608523,0.042335761051928156,0.026589074439778343,0.015107401825260242,0.012536150334225407,0.0017754503824146742,0.001731354948857719,1.7137824168611058,0.0
min,1.0,29.0,4.0,5.025,7.0,4.0,0.0,33.0,0.8240740740740735,10.0,0.0529090697944489,0.03038312952043451,0.010162541667895805,0.0022522522522522,1.0,2.0,0.0,0.0,1.2329999999999997,0.001468387840261709,0.0775950993010901,0.04308676719665527,0.17810297012329102,26.0,2.36459529509159,0.0,0.3331666120428868,2.0469404227423382,2.4000000000000004,3.8,2.789999999999999,0.2512901904933216,0.001468387840261709,0.005999999999999998,0.0,0.010000000000000009,8.0,1.0
25%,1.0,94.5,5.0,0.4996668332500427,2.0,2.0,2.0,27.0,1.3603267973856212,26.5,0.04478449434981224,0.012575057060485978,0.014450213348403199,0.0102430783965983,2.0,5.0,1.0,1.0,0.5180000000000007,0.06521489556330173,0.020223865508355643,0.0007892847061157227,0.017761945724487305,94.0,34.123881778963295,0.0,0.1367845850065401,34.14242563120618,2.3000000000000007,3.0500000000000007,3.0999999999999996,0.011854574519746919,0.06521489556330173,0.0345,0.0045000000000000005,0.03249999999999997,16.0,1.0
50%,2.0,92.0,5.0,1.1111111111111107,1.0,6.0,0.0,21.0,1.6904761904761916,32.0,0.044167251800146023,0.011625219561800904,0.010753386477900598,0.015439603902381801,3.0,4.0,4.0,1.0,0.3490000000000002,0.06942777110844345,0.014179038695800061,0.004215955734253041,0.0049506425857543945,92.0,29.197387721106992,1.0,0.0142883379415821,29.131612182139207,2.0,2.5,3.1500000000000004,0.016249393397459677,0.06942777110844345,0.03900000000000001,0.003999999999999997,0.02200000000000002,14.0,1.0
75%,1.0,94.5,5.0,1.6626002673796805,0.0,7.0,0.0,20.0,2.4728021978021975,30.0,0.03490718607071186,0.015668824553574823,0.02053898322382841,0.018962725790520798,3.0,6.0,8.0,1.0,0.06549999999999923,0.07989915595500041,0.011263853133399837,0.0054909586906433105,0.006965458393096924,96.5,31.115788027075922,1.0,0.0,31.213950240614054,1.6500000000000021,1.75,3.365,0.024383681226216147,0.07989915595500041,0.046999999999999986,0.012999999999999998,0.03349999999999986,14.0,1.0
max,3.0,482.0,33.0,7.469696969696965,9.0,40.0,4.0,317.0,6.768181818181816,204.0,0.04451551007355298,0.005099959200326298,0.024100529100529094,0.0454667943126618,12.0,4.0,26.0,3.0,0.26700000000000035,0.09058604103268875,0.016824281695998144,0.02013498544692993,0.028848409652710072,472.0,209.46477140804132,4.0,0.0,209.54812697331684,1.7999999999999972,0.0,4.23,0.2370567504483736,0.09058604103268875,0.14700000000000002,0.028000000000000025,0.014000000000000012,2.0,1.0
